01/22/2015-09:50:16.044577  [**] [1:2009247:3] ET SHELLCODE Rothenburg Shellcode [**] [Classification: Executable code was detected] [Priority: 1] {TCP} 149.171.126.16:80 -> 175.45.176.2:23357
01/22/2015-09:50:39.376007  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.19:25 -> 175.45.176.1:24289
01/22/2015-09:50:40.320993  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.19:25 -> 175.45.176.0:43666
01/22/2015-09:50:43.096034  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:21 -> 59.166.0.0:36184
01/22/2015-09:50:43.099016  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:143 -> 59.166.0.6:39198
01/22/2015-09:50:43.100231  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:25 -> 59.166.0.0:65052
01/22/2015-09:50:43.105139  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:21 -> 59.166.0.8:60362
01/22/2015-09:50:43.120088  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:25 -> 59.166.0.0:60749
01/22/2015-09:50:43.118061  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.3:42587
01/22/2015-09:50:43.098046  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:143 -> 59.166.0.2:39249
01/22/2015-09:50:43.124961  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:21 -> 59.166.0.0:61889
01/22/2015-09:50:43.100423  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:25 -> 59.166.0.5:11220
01/22/2015-09:50:43.127201  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:21 -> 59.166.0.1:34351
01/22/2015-09:50:43.142089  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:25 -> 59.166.0.5:34290
01/22/2015-09:50:43.153009  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:21 -> 59.166.0.3:23415
01/22/2015-09:50:43.106682  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:143 -> 59.166.0.2:10580
01/22/2015-09:50:43.141085  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.7:35342
01/22/2015-09:50:43.127001  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:21 -> 59.166.0.3:40867
01/22/2015-09:50:43.228012  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.3:21 -> 59.166.0.4:60847
01/22/2015-09:50:43.215032  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:143 -> 59.166.0.5:15833
01/22/2015-09:50:43.237041  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.9:25 -> 59.166.0.0:25308
01/22/2015-09:50:43.231991  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:21 -> 59.166.0.7:27122
01/22/2015-09:50:43.167063  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:21 -> 59.166.0.9:14906
01/22/2015-09:50:43.119336  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:143 -> 59.166.0.7:1144
01/22/2015-09:50:43.237290  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:143 -> 59.166.0.4:35345
01/22/2015-09:50:43.251179  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:143 -> 59.166.0.6:39954
01/22/2015-09:50:43.258473  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.5:25 -> 59.166.0.6:6166
01/22/2015-09:50:43.264186  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:25 -> 59.166.0.9:45285
01/22/2015-09:50:43.275083  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:25 -> 59.166.0.4:59971
01/22/2015-09:50:43.276996  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.7:21 -> 59.166.0.8:39267
01/22/2015-09:50:43.298216  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:25 -> 59.166.0.4:15925
01/22/2015-09:50:43.318023  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:143 -> 59.166.0.2:15993
01/22/2015-09:50:43.329083  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:143 -> 59.166.0.2:50641
01/22/2015-09:50:43.348100  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:21 -> 59.166.0.1:26025
01/22/2015-09:50:43.353166  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.4:25 -> 59.166.0.4:21506
01/22/2015-09:50:43.364176  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.1:25 -> 59.166.0.4:28756
01/22/2015-09:50:43.365985  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.2:143 -> 59.166.0.2:17787
01/22/2015-09:50:43.373422  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.8:21 -> 59.166.0.6:54406
01/22/2015-09:50:43.373984  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:143 -> 59.166.0.1:33095
01/22/2015-09:50:43.376079  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.6:21 -> 59.166.0.5:43388
01/22/2015-09:50:43.376185  [**] [1:2260002:1] SURICATA Applayer Detect protocol only one direction [**] [Classification: Generic Protocol Command Decode] [Priority: 3] {TCP} 149.171.126.0:21 -> 59.166.0.8:9989
