------------------------------------------------------------------------------------
Date: 5/11/2025 -- 13:14:52 (uptime: 0d, 00h 00m 17s)
------------------------------------------------------------------------------------
Counter                                       | TM Name                   | Value
------------------------------------------------------------------------------------
decoder.pkts                                  | Total                     | 1000000
decoder.bytes                                 | Total                     | 543151868
decoder.invalid                               | Total                     | 1
decoder.ipv4                                  | Total                     | 999846
decoder.arp                                   | Total                     | 154
decoder.sll                                   | Total                     | 1000000
decoder.tcp                                   | Total                     | 984970
tcp.syn                                       | Total                     | 18768
tcp.synack                                    | Total                     | 18766
tcp.rst                                       | Total                     | 120
decoder.udp                                   | Total                     | 14676
decoder.icmpv4                                | Total                     | 41
decoder.avg_pkt_size                          | Total                     | 543
decoder.max_pkt_size                          | Total                     | 1518
flow.total                                    | Total                     | 12265
flow.tcp                                      | Total                     | 9384
flow.udp                                      | Total                     | 2880
flow.icmpv4                                   | Total                     | 1
flow.tcp_reuse                                | Total                     | 4
flow.wrk.spare_sync_avg                       | Total                     | 98
flow.wrk.spare_sync                           | Total                     | 68
flow.wrk.spare_sync_incomplete                | Total                     | 17
decoder.event.ipv4.trunc_pkt                  | Total                     | 1
decoder.event.ipv4.opt_pad_required           | Total                     | 2
flow.wrk.flows_evicted_needs_work             | Total                     | 7337
flow.wrk.flows_evicted_pkt_inject             | Total                     | 9480
flow.wrk.flows_evicted                        | Total                     | 3875
flow.wrk.flows_injected                       | Total                     | 7322
flow.wrk.flows_injected_max                   | Total                     | 29
tcp.sessions                                  | Total                     | 9384
tcp.ssn_from_cache                            | Total                     | 5302
tcp.ssn_from_pool                             | Total                     | 4082
tcp.segment_from_cache                        | Total                     | 415255
tcp.segment_from_pool                         | Total                     | 100688
tcp.stream_depth_reached                      | Total                     | 3
tcp.reassembly_gap                            | Total                     | 17
tcp.overlap                                   | Total                     | 257890
detect.alert                                  | Total                     | 2536
detect.alerts_suppressed                      | Total                     | 459
app_layer.flow.http                           | Total                     | 1297
app_layer.tx.http                             | Total                     | 2023
app_layer.flow.ftp                            | Total                     | 310
app_layer.tx.ftp                              | Total                     | 3151
app_layer.error.ftp.parser                    | Total                     | 30
app_layer.flow.smtp                           | Total                     | 465
app_layer.tx.smtp                             | Total                     | 924
app_layer.flow.tls                            | Total                     | 2
app_layer.error.tls.parser                    | Total                     | 1
app_layer.flow.ssh                            | Total                     | 572
app_layer.error.ssh.gap                       | Total                     | 3
app_layer.flow.imap                           | Total                     | 232
app_layer.flow.smb                            | Total                     | 103
app_layer.tx.smb                              | Total                     | 212
app_layer.flow.ftp-data                       | Total                     | 340
app_layer.flow.tftp                           | Total                     | 2
app_layer.tx.tftp                             | Total                     | 4
app_layer.flow.ike                            | Total                     | 1
app_layer.tx.ike                              | Total                     | 2
app_layer.flow.snmp                           | Total                     | 3
app_layer.tx.snmp                             | Total                     | 2
app_layer.error.snmp.parser                   | Total                     | 4
app_layer.flow.sip                            | Total                     | 5
app_layer.tx.sip                              | Total                     | 10
app_layer.flow.telnet                         | Total                     | 2
app_layer.flow.failed_tcp                     | Total                     | 5134
app_layer.flow.dns_udp                        | Total                     | 1942
app_layer.tx.dns_udp                          | Total                     | 7768
app_layer.flow.failed_udp                     | Total                     | 927
flow.end.state.new                            | Total                     | 100
flow.end.state.established                    | Total                     | 2850
flow.end.state.closed                         | Total                     | 9315
flow.end.tcp_state.syn_sent                   | Total                     | 1
flow.end.tcp_state.established                | Total                     | 68
flow.end.tcp_state.closed                     | Total                     | 9315
flow.end.tcp_liberal                          | Total                     | 17
flow.mgr.full_hash_pass                       | Total                     | 24
flow.mgr.rows_per_sec                         | Total                     | 6553
flow.spare                                    | Total                     | 10547
flow.mgr.rows_maxlen                          | Total                     | 3
flow.mgr.flows_checked                        | Total                     | 20701
flow.mgr.flows_notimeout                      | Total                     | 11383
flow.mgr.flows_timeout                        | Total                     | 9318
flow.mgr.flows_evicted                        | Total                     | 9348
flow.mgr.flows_evicted_needs_work             | Total                     | 6345
memcap_pressure                               | Total                     | 10
memcap_pressure_max                           | Total                     | 15
flow.recycler.recycled                        | Total                     | 4922
flow.recycler.queue_max                       | Total                     | 1344
tcp.memuse                                    | Total                     | 7274496
tcp.reassembly_memuse                         | Total                     | 1436680
ftp.memuse                                    | Total                     | 300
flow.memuse                                   | Total                     | 8392768
